PublicID,Name,Email Address,Recruitment Policy,Group,Version,Checkpoint,Current Node,Status,Included,Activated
soo9ghos,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,05/02/2024
jitqk8x0,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,05/02/2024
c0po21rm,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,05/02/2024
9b44cd08,,,MTurk,,2,,questionnaire-7spi,Rejected (Manual),FALSE,08/02/2024
4ycylcym,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,08/02/2024
uh6ldmy0,,,MTurk,,2,,,Complete,TRUE,08/02/2024
e30w7hhc,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,08/02/2024
ynagh6zf,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
5hdsrmi2,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
eo6is2kf,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
jk0qs54w,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,09/02/2024
w0kf9jlm,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,09/02/2024
2rtfcpsq,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
609s8171,,,MTurk,,2,,,Complete,TRUE,09/02/2024
06d141bx,,,MTurk,,2,,,Complete,TRUE,09/02/2024
ejbbinl5,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,10/02/2024
3tfkvcqn,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
vqhq1v7o,,,MTurk,,2,,,Complete,TRUE,12/02/2024
z3n2izw9,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
lcu7sww9,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
p1g2nlpg,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
9k0jnpyv,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,12/02/2024
eoro4nvu,,,MTurk,,2,,task-hu1g,Rejected (Manual),FALSE,12/02/2024
1y3fe8ew,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
k0kc436x,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,12/02/2024
zboesxs7,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
z6vm0ngj,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
91rdfwf3,,,MTurk,,2,,,Complete,TRUE,12/02/2024
iqrlkh1s,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,13/02/2024
sgicyw1j,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,12/02/2024
jymhxboz,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
0kpshnls,,,MTurk,,2,,,Complete,TRUE,13/02/2024
aby96ve4,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,12/02/2024
f0ntvntp,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,12/02/2024
9iz6y9bx,,,MTurk,,2,,,Complete,TRUE,12/02/2024
6189mvyw,,,MTurk,,2,,,Complete,TRUE,12/02/2024
hu9nyzey,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
xh8wtsfw,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,12/02/2024
cfvj09pv,,,MTurk,,2,,task-5xl3,Rejected (Manual),FALSE,12/02/2024
pslq7f8x,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,12/02/2024
ydnep7vq,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
rkz8fba6,,,MTurk,,2,,task-5xl3,Rejected (Manual),FALSE,12/02/2024
qp5uzi2k,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,12/02/2024
58v23chn,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,11/02/2024
o334p4zn,,,MTurk,,2,,task-vjth,Rejected (Manual),FALSE,11/02/2024
snpc19wc,,,MTurk,,2,,,Complete,TRUE,11/02/2024
8cpqpm4x,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,11/02/2024
cqn2r8hc,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,11/02/2024
2yojgzyo,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,11/02/2024
t55c8tpv,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,11/02/2024
u10nch2b,,,MTurk,,2,,,Complete,TRUE,10/02/2024
k3prpztd,,,MTurk,,2,,,Complete,TRUE,10/02/2024
7u34t3ez,,,MTurk,,2,,,Complete,TRUE,10/02/2024
ek3woqx4,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,10/02/2024
akpkuoxm,,,MTurk,,2,,,Complete,TRUE,08/02/2024
5tgv3804,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,08/02/2024
o12sv0n2,,,MTurk,,2,,,Complete,TRUE,08/02/2024
0c90el9w,,,MTurk,,2,,,Complete,TRUE,08/02/2024
idwbggks,,,MTurk,,2,,,Complete,TRUE,08/02/2024
2otgih74,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,08/02/2024
ydelhk8q,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,08/02/2024
z9wjh6v9,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,07/02/2024
9psa3vqh,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,07/02/2024
4plqkfsf,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,07/02/2024
yhrn4pjx,,,MTurk,,2,,,Complete,TRUE,07/02/2024
zot8z6x7,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,07/02/2024
lptzok1k,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,07/02/2024
80unn5am,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,07/02/2024
3a7bvlgt,,,MTurk,,2,,,Complete,TRUE,07/02/2024
xz34z3il,,,MTurk,,2,,,Complete,TRUE,07/02/2024
szjrz20r,,,MTurk,,2,,,Complete,TRUE,07/02/2024
vgge2wxx,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,07/02/2024
4u2xhyzk,,,MTurk,,2,,,Complete,TRUE,07/02/2024
00wwbkw7,,,MTurk,,2,,task-hu1g,Rejected (Manual),FALSE,07/02/2024
x2etdwhs,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,07/02/2024
3zl1b5o1,,,MTurk,,2,,,Complete,TRUE,07/02/2024
ytfmc81w,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,05/02/2024
5w93nzge,,,MTurk,,2,,,Complete,TRUE,05/02/2024
f6izwzqp,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,05/02/2024
86drh8xa,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,05/02/2024
qlbn1nsc,,,MTurk,,2,,task-vjth,Rejected (Manual),FALSE,05/02/2024
k0ur7ujl,,,MTurk,,2,,task-5xl3,Rejected (Manual),FALSE,05/02/2024
6lellv4f,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,05/02/2024
k87uwf36,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,05/02/2024
g56jf79s,,,MTurk,,2,,task-5xl3,Rejected (Manual),FALSE,05/02/2024
c3adqo30,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,05/02/2024
agmyto7y,,,MTurk,,2,,questionnaire-83ca,Rejected (Manual),FALSE,05/02/2024
ttwpsqry,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,05/02/2024
hm1hb3hx,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,05/02/2024
ww0az2xp,,,MTurk,,2,,,Complete,TRUE,05/02/2024
znuxblyp,,,MTurk,,2,,,Complete,TRUE,05/02/2024
3q7gktvi,,,MTurk,,2,,,Complete,TRUE,05/02/2024
j9b0qb4c,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,05/02/2024
e5icigg3,,,MTurk,,2,,,Complete,TRUE,05/02/2024
jjfayjvz,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,05/02/2024
dub5of15,,,MTurk,,2,,,Complete,TRUE,02/02/2024
8iifc3w7,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
e4eyoetd,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,02/02/2024
kk9vqfvs,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
jdhmyaj1,,,MTurk,,2,,,Complete,TRUE,02/02/2024
0sr4702l,,,MTurk,,2,,,Complete,TRUE,02/02/2024
c9rq5b0y,,,MTurk,,2,,,Complete,TRUE,02/02/2024
00z4eueg,,,MTurk,,2,,,Complete,TRUE,02/02/2024
qvr1j54m,,,MTurk,,2,,,Complete,TRUE,02/02/2024
eookhlqw,,,MTurk,,2,,,Complete,TRUE,02/02/2024
muvdiplz,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,02/02/2024
2h6x7m5l,,,MTurk,,2,,,Complete,TRUE,02/02/2024
g3wsg0l4,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,02/02/2024
sobsgfpz,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
gszx8vtq,,,MTurk,,2,,,Complete,TRUE,02/02/2024
y1o880v5,,,MTurk,,2,,,Complete,TRUE,02/02/2024
zar1ffxq,,,MTurk,,2,,,Complete,TRUE,02/02/2024
sd8f6k9v,,,MTurk,,2,,task-5xl3,Rejected (Manual),FALSE,02/02/2024
p5dz5xtl,,,MTurk,,2,,task-vjth,Rejected (Manual),FALSE,02/02/2024
sxvtpzba,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
iypqzd41,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,02/02/2024
9hvlz1uw,,,MTurk,,2,,,Complete,TRUE,02/02/2024
tfoeqsq1,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,02/02/2024
dl9vu4kd,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
62yi82ny,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
v9ugymxa,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,02/02/2024
j3kltwmb,,,MTurk,,2,,,Complete,TRUE,02/02/2024
4u7ao6mm,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,02/02/2024
3xowrysi,,,MTurk,,2,,,Complete,TRUE,02/02/2024
y34a5w74,,,MTurk,,2,,,Complete,TRUE,02/02/2024
kx76bpb1,,,MTurk,,2,,,Complete,TRUE,02/02/2024
glbsi8le,,,MTurk,,2,,,Complete,TRUE,02/02/2024
6buf190o,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
7rav4buw,,,MTurk,,2,,,Complete,TRUE,02/02/2024
ii0b79o7,,,MTurk,,2,,,Complete,TRUE,02/02/2024
77cfqkz4,,,MTurk,,2,,,Complete,TRUE,02/02/2024
tfkyzmis,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
64bxg0pw,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
0ug2uziw,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
pqadatyd,,,MTurk,,2,,,Complete,TRUE,02/02/2024
isn37d0h,,,MTurk,,2,,,Complete,TRUE,02/02/2024
mkh33kxq,,,MTurk,,2,,,Complete,TRUE,02/02/2024
7gk8p750,,,MTurk,,2,,,Complete,TRUE,02/02/2024
jg1a3fwg,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
slga5onx,,,MTurk,,2,,,Complete,TRUE,02/02/2024
sg8kxcgs,,,MTurk,,2,,,Complete,TRUE,02/02/2024
epxnctp8,,,MTurk,,2,,,Complete,TRUE,02/02/2024
lva895e4,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,02/02/2024
p3uaop6k,,,MTurk,,2,,,Complete,TRUE,02/02/2024
s2qz10bm,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
7f5twqmy,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,13/02/2024
w47qr5iv,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,13/02/2024
eml06tnb,,,MTurk,,2,,task-5xl3,Rejected (Manual),FALSE,13/02/2024
iuhirvgr,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,13/02/2024
j9uvjbe1,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,13/02/2024
