item,subScale,subScaleNum,question
1,extraversion,1,
2,agreeableness,2,
3,conscientiousness,3,
4,neuroticism,4,
5,openness,5,
6,extraversion,1,
7,agreeableness,2,
8,conscientiousness,3,
9,neuroticism,4,
10,openness,5,
11,extraversion,1,
12,agreeableness,2,
13,conscientiousness,3,
14,neuroticism,4,
15,openness,5,
16,extraversion,1,
17,agreeableness,2,
18,conscientiousness,3,
19,neuroticism,4,
20,openness,5,
21,extraversion,1,
22,agreeableness,2,
23,conscientiousness,3,
24,neuroticism,4,
25,openness,5,
26,extraversion,1,
27,agreeableness,2,
28,conscientiousness,3,
29,neuroticism,4,
30,openness,5,
31,extraversion,1,
32,agreeableness,2,
33,conscientiousness,3,
34,neuroticism,4,
35,openness,5,
36,extraversion,1,
37,agreeableness,2,
38,conscientiousness,3,
39,neuroticism,4,
40,openness,5,
41,openness,5,
42,agreeableness,2,
43,conscientiousness,3,
44,openness,5,