participant_ID,extraversion_score,agreeableness_score,conscientiousness_score,openness_score,neuroticism_score
92241,2.13,2.89,4.56,4.6,4.88
98498,1.75,3.33,2.56,2.8,3.75
40358,4.25,3.56,4,3.3,1.38
76134,2.63,3.11,2.33,3,2.75
53958,3.38,3.78,4.11,4.1,2.25
24311,1.13,3.22,1.67,3.1,4.38
65978,1.38,2.89,1.78,2.1,4
39756,2.5,3.11,3.44,3.6,4.13
21566,2.63,2.78,3.22,4.1,2.25
46796,4.13,4.22,3.11,4.2,1.5
91981,2.5,4.44,4.56,4,1.38
72945,2.5,3.11,2.89,4.5,4.5
82305,1.75,3.67,4.22,2.2,2
16042,2.63,4.78,4.89,3.4,1.88
65535,2.38,2.67,3.11,3.6,3.88
32999,2.25,4.44,4.22,4.1,2
49513,4,4.33,4,4.2,1.5
74568,4,4.67,4.78,3.7,2
40570,4.13,2,3.56,5,2.25
95066,3.38,3.56,3.89,3.7,2.88
27017,3.88,4.56,4.67,4.2,1.5
77117,4.5,4.22,4.78,4.3,2.5
65180,2.75,3.89,4.78,3.9,2.5
81053,2.13,4.33,4.67,3.4,2.63
63092,3.38,4.44,4,3.8,2.13
32418,3.5,4.44,4.67,3,1.38
83111,3.38,5,5,3.9,2
12178,2,4.22,5,4,2.13
31398,2.75,4.56,3.33,3.1,1.63
22826,4.13,3.44,3.44,3.6,2.63
89703,2.13,2.89,2.22,3.2,4.38
30122,1.63,4.56,3.78,4.3,3.88
41788,2.88,3.44,2.44,4.3,3.25
94659,1.5,4.56,3.78,3.8,4.5
41384,3.38,4.56,4.22,4,1.63
39320,3.38,4.11,4.11,3.2,1.63
23429,3.38,4.44,4,4,1.5
48354,3.75,3.78,3,2.4,3.63
27008,2.25,4.44,4.33,3.7,1.38
17304,3.5,4.67,4.78,4.1,1.88
49157,3.25,4.22,4.89,3,2.5
65534,1.13,2.44,2.44,3.3,4.38
33270,2.38,3.22,3.56,2.9,2.88
42229,1.25,3.11,4.67,4,4
69820,1.5,4.67,4,3.2,3.88
59088,4,4.22,3.44,3.8,3.5
46711,1.5,3.78,4.44,3.2,2.25
41919,3.38,3.78,4.56,3.8,2.25
50862,2.38,4.44,4.22,3.7,1.38
71591,4.25,4.56,4.67,4,2.25
71920,3.75,4.44,3.56,4.3,2.25
70424,4.25,5,4.56,4.4,1
83485,2.38,4,4,4.1,2.75
18724,2.38,3,3.89,3,3.38
37559,4,3.33,4,4.1,1.38
26586,3.38,4.67,4.11,4.2,2.75
95835,2,3.33,4.56,3.2,2.25
83220,1.88,3.44,4.33,4,2.75
31717,2.38,3.67,3.89,2.7,3
88147,4.63,4.22,4.67,2.5,2.88
88009,2.88,3.22,3.56,4.3,2.13
46188,2.63,4.22,4.22,2.6,3.25
10345,4.75,4.56,4.89,4.3,2
44256,3.63,4.44,4.56,4.5,1.88
40326,3.63,4.33,4.67,4.4,3.38
54165,4,3.44,2.11,3,4.75
23105,2.63,3.33,3.56,3,3.38
23564,2.38,4.33,4.56,4,1.75
29937,2.25,2.89,3.67,3.1,2.75
71586,2.38,3.89,3.11,4.8,3.63
29239,3,3.11,4.11,3.7,4.63
66850,3.25,4.11,4,3.5,2.13
59741,2.88,4,3.44,3.9,3.13
98860,3.25,4,4.11,4,2.38
91115,3.88,4.33,4,4,2.25
41227,4.13,3.44,3.78,4,4.63
32062,3.25,4.67,4.44,3.7,3
44975,3.63,4.33,4.44,4.4,2.5
38957,4.25,4.78,4.78,4.7,1.38
61444,1.75,4.33,3.56,3.7,3.13
50861,2.25,4.11,4.44,2.2,1.63
46509,4.13,5,4.78,4.1,1
11492,4,5,5,4.6,1.25
35669,3.63,5,5,4.5,1.25
49061,3.63,4,4.78,4.4,1.75
55599,3.38,4.22,3.56,4.7,1
99927,1.75,3.44,2.56,3.8,3.5
84409,1.5,3.44,3.22,3.1,4.25
16379,3.63,2.56,3,4.2,1.25
26627,1.75,4.56,4.89,3.5,1.13
38794,4,3.11,3.89,3.7,3.13
43118,2.88,4.78,4.33,3.2,1.75
99496,4.5,3.78,5,3.4,1.38
22306,3.5,5,4.22,2.5,1.5
47804,2.13,3.89,4.89,2.9,3.75
72626,1.63,3.67,4,4.3,3.25
16234,1.63,4.89,4.56,3.5,1
53025,1.88,2.89,2.67,2.6,3.5
54409,3.75,4.67,4.56,4.2,2.25
42863,2.88,4.44,4.78,3.9,1.63
62828,4.25,4.44,5,4,1.25
33211,3.5,3.56,3.22,4.1,3
63854,3.88,3,2.78,3.9,3.5
67900,1.5,3.56,4.89,4.1,4.38
78821,4.75,4.56,5,4.6,1.25
40377,4.13,4.67,3.56,4.3,2.5
94161,1.63,3.56,2.89,3.3,3.13
37239,4.13,4.89,4.33,2.7,1.38
63396,4.38,4,3.89,3.7,1.75
85186,1.75,4.78,4.78,2.8,1.75
87091,3.5,5,5,4.7,1.5
10978,3,3,3,3,3
87842,1.63,3.56,3.89,2.9,1.63
43294,4.13,4,4.22,3,2.25
37703,2.63,4.22,3.56,3.3,2.38
54761,3.63,3.67,3.33,3.8,2.88
50895,2.63,4.56,4.22,3.9,3.13